name,family,epochs,best_epoch,best_val_loss,best_val_acc,test_loss,test_acc,parameter_count,elapsed_seconds
TCN,tcn,6,5,0.066511,0.980000,0.056738,0.980900,203082,69.01
TCN-Columns,tcn,6,6,0.109416,0.966250,0.090405,0.973600,203082,68.30
TCN-WideK5,tcn,6,5,0.068131,0.979500,0.061507,0.980200,329546,74.96
TCN-MaxAvg,tcn,6,4,0.058125,0.982750,0.056488,0.982400,204362,70.82
DualTCN,dual_tcn,6,6,0.082082,0.974500,0.060725,0.980400,437770,142.73
DualTCN-MaxAvg,dual_tcn,6,5,0.070563,0.977750,0.054411,0.982600,470538,142.83
