name,family,epochs,best_epoch,best_val_loss,best_val_acc,test_loss,test_acc,parameter_count,elapsed_seconds
TCN-MaxAvg,tcn,6,4,0.058125,0.982750,0.056488,0.982400,204362,68.12
BiGRU-2Layer-Attn,recurrent,6,5,0.112558,0.965500,0.093389,0.970200,420619,32.36
TCN-BiGRU,tcn_bigru,6,6,0.063836,0.979250,0.054516,0.982800,303691,62.61
TCN-BiGRU-WideK5,tcn_bigru,6,5,0.068342,0.982250,0.061910,0.981700,364619,72.49
