name,family,epochs,best_epoch,best_val_loss,best_val_acc,test_loss,test_acc,parameter_count,elapsed_seconds
TCN,tcn,6,6,0.063806,0.980250,0.053534,0.983500,203082,76.23
TCN-Columns,tcn,6,4,0.110479,0.968750,0.094410,0.970900,203082,75.26
TCN-WideK5,tcn,6,4,0.096129,0.971500,0.086291,0.972000,329546,82.47
TCN-MaxAvg,tcn,6,6,0.059754,0.981500,0.049566,0.984200,204362,75.33
DualTCN,dual_tcn,6,4,0.074980,0.978750,0.066698,0.979300,437770,148.47
DualTCN-MaxAvg,dual_tcn,6,5,0.073139,0.978750,0.066526,0.979400,470538,153.05
