name,family,epochs,best_epoch,best_val_loss,best_val_acc,test_loss,test_acc,parameter_count,elapsed_seconds
TCN,tcn,6,5,0.068690,0.982750,0.057716,0.981600,203082,96.91
TCN-Columns,tcn,6,6,0.090334,0.970000,0.082888,0.973900,203082,76.82
TCN-WideK5,tcn,6,6,0.060160,0.980500,0.063378,0.981400,329546,85.26
TCN-MaxAvg,tcn,6,5,0.058676,0.983250,0.051520,0.983200,204362,78.22
DualTCN,dual_tcn,6,6,0.072658,0.980000,0.061083,0.980800,437770,152.04
DualTCN-MaxAvg,dual_tcn,6,4,0.075661,0.976000,0.076591,0.975900,470538,154.67
