name,family,epochs,best_epoch,best_val_loss,best_val_acc,test_loss,test_acc,parameter_count,elapsed_seconds
TCN-MaxAvg,tcn,10,7,0.035333,0.989450,0.030356,0.991000,204362,610.50
TCN-BiGRU,tcn_bigru,10,8,0.035066,0.989400,0.028060,0.992500,303691,567.77
TCN-BiGRU-WideK5,tcn_bigru,10,8,0.037630,0.988600,0.028549,0.990000,364619,520.20
