name,family,epochs,best_epoch,best_val_loss,best_val_acc,test_loss,test_acc,parameter_count,elapsed_seconds
CNN-Deep,image_cnn,10,5,0.030965,0.990900,0.025120,0.991300,127306,473.56
TCN-MaxAvg,tcn,10,7,0.035333,0.989450,0.030356,0.991000,204362,610.50
TCN-BiGRU,tcn_bigru,10,8,0.035066,0.989400,0.028060,0.992500,303691,567.77
